state,quality parameter
PUDUCHERRY, Iron
UTTARAKHAND, Iron
ASSAM, Iron
WEST BENGAL, Iron
JHARKHAND, Iron
CHHATTISGARH, Iron
NAGALAND, Iron
ARUNACHAL PRADESH, Iron
MADHYA PRADESH, Iron
TAMIL NADU, Iron
ORISSA, Iron
UTTAR PRADESH, Iron
RAJASTHAN, Iron
TRIPURA, Iron
KARNATAKA, Iron
MEGHALAYA, Iron
BIHAR, Iron
PUNJAB, Iron
JAMMU AND KASHMIR, Iron
KERALA, Iron
MAHARASHTRA, Iron
